artikel,bestand
100000,112
100001,31
100002,38
100003,48
100004,251
100005,295
100006,421
100007,36
100008,22
100009,38
100010,436
100011,14
100012,42
100013,78
100014,235
100015,212
100016,120
100017,21
100018,77
100019,115
100020,41
100021,244
100022,111
100023,183
100024,77
100025,27
100026,307
100027,43
100028,19
100029,485
100030,10
100031,327
100032,430
100033,32
100034,0
100035,26
100036,170
100037,315
100038,12
100039,52
100040,397
100041,186
100042,364
100043,32
100044,100
100045,41
100046,108
100047,31
100048,31
100049,432
100050,48
100051,48
100052,11
100053,38
100054,1
100055,2
100056,312
100057,300
100058,312
100059,130
100060,162
100061,51
100062,1
100063,103
100064,136
100065,36
100066,423
100067,32
100068,325
100069,1
100070,43
100071,417
100072,359
100073,5
100074,31
100075,3
100076,10
100077,383
100078,172
100079,454
100080,37
100081,23
100082,118
100083,297
100084,188
100085,193
100086,32
100087,8
100088,5
100089,142
100090,458
100091,19
100092,35
100093,18
100094,25
100095,196
100096,19
100097,145
100098,398
100099,327
