datum,artikel,menge,von_platz,nach_platz,grund
2024-01-02,100001,7,A17,B18,Fehlplatzierung
2024-01-05,100002,36,B36,C33,Kapazitätsausgleich
2024-01-09,100055,20,C26,C20,Kapazitätsausgleich
2024-01-13,100080,1,A44,A37,Qualitätsprüfung
2024-01-14,100058,8,A25,B22,Fehlplatzierung
2024-01-15,100001,16,C45,C27,Fehlplatzierung
2024-01-15,100001,14,A13,C06,Qualitätsprüfung
2024-01-21,100091,12,A25,B42,Kapazitätsausgleich
2024-01-21,100053,23,B18,A31,Kapazitätsausgleich
2024-01-22,100086,15,C38,C22,Qualitätsprüfung
2024-01-28,100095,28,B17,C37,Kommissionierung
2024-01-28,100096,34,C09,B01,Kapazitätsausgleich
2024-01-29,100000,2,C46,A29,Fehlplatzierung
2024-02-02,100018,32,C11,A40,Kapazitätsausgleich
2024-02-04,100001,23,C11,A41,Kommissionierung
2024-02-04,100052,22,A34,A11,Kapazitätsausgleich
2024-02-05,100043,25,C11,A01,Kommissionierung
2024-02-10,100089,22,A08,A46,Kapazitätsausgleich
2024-02-10,100031,22,C13,C01,Kapazitätsausgleich
2024-02-11,100069,6,B33,C49,Kapazitätsausgleich
2024-02-13,100031,15,A42,B40,Kommissionierung
2024-02-13,100067,37,C01,C10,Kommissionierung
2024-02-14,100054,33,A06,B07,Kommissionierung
2024-02-17,100074,8,A26,A01,Fehlplatzierung
2024-02-18,100055,5,B14,B13,Kapazitätsausgleich
2024-02-19,100016,39,B09,B05,Kapazitätsausgleich
2024-02-20,100037,4,C09,C15,Qualitätsprüfung
2024-02-21,100023,6,C21,C43,Kapazitätsausgleich
2024-02-21,100068,32,A33,C49,Fehlplatzierung
2024-02-22,100097,30,C50,B03,Kapazitätsausgleich
2024-02-22,100069,35,A21,C37,Fehlplatzierung
2024-02-23,100085,16,B20,B07,Kapazitätsausgleich
2024-02-24,100010,13,C12,C17,Qualitätsprüfung
2024-02-28,100015,30,A04,A35,Kommissionierung
2024-03-02,100096,19,B44,B13,Fehlplatzierung
2024-03-02,100072,17,B25,A25,Kapazitätsausgleich
2024-03-03,100058,19,B12,B40,Kommissionierung
2024-03-03,100069,28,B44,B25,Fehlplatzierung
2024-03-05,100079,26,B45,A38,Kommissionierung
2024-03-06,100092,37,B05,C30,Kommissionierung
2024-03-12,100002,26,C37,C35,Kommissionierung
2024-03-21,100019,23,C31,B41,Kommissionierung
2024-03-21,100058,9,A31,A17,Kommissionierung
2024-03-26,100035,12,A40,C28,Kommissionierung
2024-03-28,100018,1,A36,C08,Fehlplatzierung
2024-03-29,100089,1,A06,A25,Kapazitätsausgleich
2024-04-01,100066,34,B16,B38,Kapazitätsausgleich
2024-04-05,100018,32,B25,A29,Fehlplatzierung
2024-04-05,100019,25,A04,B13,Qualitätsprüfung
2024-04-08,100095,1,B29,C50,Kommissionierung
2024-04-09,100070,16,C34,C14,Kommissionierung
2024-04-10,100051,39,C18,A49,Kapazitätsausgleich
2024-04-12,100032,5,C13,B31,Kapazitätsausgleich
2024-04-12,100039,22,B44,B34,Kommissionierung
2024-04-15,100038,29,B12,C05,Kapazitätsausgleich
2024-04-16,100081,3,B29,C48,Kommissionierung
2024-04-17,100000,12,C36,C18,Kapazitätsausgleich
2024-04-22,100010,26,A26,B36,Fehlplatzierung
2024-04-25,100091,16,A44,B13,Fehlplatzierung
2024-04-30,100056,37,C33,C04,Kommissionierung
2024-05-01,100088,22,B20,A49,Kommissionierung
2024-05-07,100049,29,C18,B21,Kapazitätsausgleich
2024-05-08,100022,14,B18,A01,Qualitätsprüfung
2024-05-10,100030,28,A19,C41,Kommissionierung
2024-05-10,100093,5,A20,C23,Kapazitätsausgleich
2024-05-10,100041,30,C13,B12,Fehlplatzierung
2024-05-13,100098,5,C40,A32,Qualitätsprüfung
2024-05-14,100006,12,A47,A29,Fehlplatzierung
2024-05-14,100015,16,A01,A49,Kommissionierung
2024-05-15,100089,26,B40,A30,Kommissionierung
2024-05-16,100059,26,C42,C44,Kapazitätsausgleich
2024-05-18,100001,21,B14,A19,Fehlplatzierung
2024-05-22,100000,39,A38,A18,Qualitätsprüfung
2024-05-29,100047,36,A37,A01,Kapazitätsausgleich
2024-05-31,100011,33,C26,B28,Kapazitätsausgleich
