datum,artikel,menge,grund,belegnummer
2024-01-01,100017,18,Versand,WA-20001
2024-01-01,100031,56,Versand,WA-20002
2024-01-01,100095,46,Produktion,WA-20003
2024-01-01,100098,47,Produktion,WA-20004
2024-01-01,100038,58,Versand,WA-20005
2024-01-01,100045,59,Produktion,WA-20006
2024-01-01,100028,23,Versand,WA-20007
2024-01-01,100061,52,Versand,WA-20008
2024-01-02,100092,35,Produktion,WA-20009
2024-01-02,100061,9,Produktion,WA-20010
2024-01-02,100056,17,Produktion,WA-20011
2024-01-02,100015,34,Versand,WA-20012
2024-01-03,100055,22,Reparatur,WA-20013
2024-01-04,100009,17,Produktion,WA-20014
2024-01-04,100029,50,Produktion,WA-20015
2024-01-04,100024,23,Produktion,WA-20016
2024-01-04,100083,44,Reparatur,WA-20017
2024-01-04,100004,28,Produktion,WA-20018
2024-01-04,100064,16,Produktion,WA-20019
2024-01-05,100093,59,Retourenaufbereitung,WA-20020
2024-01-05,100048,39,Produktion,WA-20021
2024-01-05,100002,60,Versand,WA-20022
2024-01-05,100044,23,Produktion,WA-20023
2024-01-05,100013,5,Versand,WA-20024
2024-01-05,100029,39,Versand,WA-20025
2024-01-05,100067,51,Produktion,WA-20026
2024-01-06,100017,21,Retourenaufbereitung,WA-20027
2024-01-06,100061,14,Retourenaufbereitung,WA-20028
2024-01-06,100036,63,Versand,WA-20029
2024-01-06,100024,43,Versand,WA-20030
2024-01-07,100047,35,Versand,WA-20031
2024-01-07,100064,52,Retourenaufbereitung,WA-20032
2024-01-07,100052,35,Retourenaufbereitung,WA-20033
2024-01-07,100078,26,Produktion,WA-20034
2024-01-08,100072,63,Reparatur,WA-20035
2024-01-08,100014,63,Produktion,WA-20036
2024-01-08,100048,30,Produktion,WA-20037
2024-01-08,100087,60,Versand,WA-20038
2024-01-09,100067,45,Versand,WA-20039
2024-01-09,100011,43,Produktion,WA-20040
2024-01-09,100058,41,Produktion,WA-20041
2024-01-09,100036,51,Versand,WA-20042
2024-01-10,100060,19,Retourenaufbereitung,WA-20043
2024-01-10,100042,67,Versand,WA-20044
2024-01-10,100069,7,Versand,WA-20045
2024-01-10,100038,4,Produktion,WA-20046
2024-01-11,100055,24,Produktion,WA-20047
2024-01-11,100062,59,Produktion,WA-20048
2024-01-11,100045,68,Versand,WA-20049
2024-01-12,100087,18,Versand,WA-20050
2024-01-12,100010,53,Produktion,WA-20051
2024-01-12,100061,41,Produktion,WA-20052
2024-01-12,100076,42,Versand,WA-20053
2024-01-12,100097,40,Produktion,WA-20054
2024-01-13,100024,62,Versand,WA-20055
2024-01-13,100070,61,Produktion,WA-20056
2024-01-13,100051,12,Reparatur,WA-20057
2024-01-13,100003,66,Versand,WA-20058
2024-01-13,100058,65,Versand,WA-20059
2024-01-14,100071,51,Produktion,WA-20060
2024-01-14,100019,66,Produktion,WA-20061
2024-01-14,100092,34,Produktion,WA-20062
2024-01-14,100062,9,Reparatur,WA-20063
2024-01-14,100053,23,Reparatur,WA-20064
2024-01-14,100073,22,Retourenaufbereitung,WA-20065
2024-01-14,100097,28,Versand,WA-20066
2024-01-15,100056,17,Versand,WA-20067
2024-01-15,100089,16,Versand,WA-20068
2024-01-15,100040,29,Versand,WA-20069
2024-01-15,100002,42,Produktion,WA-20070
2024-01-15,100005,60,Versand,WA-20071
2024-01-15,100004,30,Retourenaufbereitung,WA-20072
2024-01-16,100004,28,Produktion,WA-20073
2024-01-16,100053,65,Produktion,WA-20074
2024-01-16,100046,68,Versand,WA-20075
2024-01-17,100086,27,Versand,WA-20076
2024-01-17,100048,5,Versand,WA-20077
2024-01-17,100008,46,Versand,WA-20078
2024-01-17,100098,44,Versand,WA-20079
2024-01-17,100019,8,Produktion,WA-20080
2024-01-18,100060,41,Reparatur,WA-20081
2024-01-18,100034,54,Reparatur,WA-20082
2024-01-19,100049,25,Produktion,WA-20083
2024-01-19,100081,52,Versand,WA-20084
2024-01-19,100061,45,Reparatur,WA-20085
2024-01-20,100016,21,Reparatur,WA-20086
2024-01-20,100087,53,Versand,WA-20087
2024-01-20,100002,13,Produktion,WA-20088
2024-01-20,100031,14,Versand,WA-20089
2024-01-21,100098,10,Reparatur,WA-20090
2024-01-21,100012,26,Retourenaufbereitung,WA-20091
2024-01-22,100088,43,Versand,WA-20092
2024-01-22,100072,38,Reparatur,WA-20093
2024-01-22,100067,57,Produktion,WA-20094
2024-01-23,100013,11,Retourenaufbereitung,WA-20095
2024-01-23,100097,49,Versand,WA-20096
2024-01-23,100010,17,Reparatur,WA-20097
2024-01-23,100055,50,Versand,WA-20098
2024-01-25,100066,44,Versand,WA-20099
2024-01-25,100091,62,Versand,WA-20100
2024-01-25,100028,14,Retourenaufbereitung,WA-20101
2024-01-25,100008,4,Reparatur,WA-20102
2024-01-25,100066,9,Reparatur,WA-20103
2024-01-25,100024,5,Retourenaufbereitung,WA-20104
2024-01-25,100097,5,Versand,WA-20105
2024-01-26,100075,29,Versand,WA-20106
2024-01-26,100041,42,Versand,WA-20107
2024-01-26,100008,35,Versand,WA-20108
2024-01-26,100078,3,Versand,WA-20109
2024-01-27,100039,10,Versand,WA-20110
2024-01-27,100024,34,Versand,WA-20111
2024-01-28,100004,50,Versand,WA-20112
2024-01-28,100010,6,Versand,WA-20113
2024-01-28,100058,21,Versand,WA-20114
2024-01-28,100097,34,Retourenaufbereitung,WA-20115
2024-01-28,100087,11,Produktion,WA-20116
2024-01-29,100078,14,Retourenaufbereitung,WA-20117
2024-01-29,100037,13,Versand,WA-20118
2024-01-29,100071,48,Versand,WA-20119
2024-01-29,100004,18,Produktion,WA-20120
2024-01-29,100047,3,Versand,WA-20121
2024-01-30,100089,65,Versand,WA-20122
2024-01-31,100017,23,Versand,WA-20123
2024-02-01,100069,32,Versand,WA-20124
2024-02-02,100036,15,Versand,WA-20125
2024-02-02,100059,36,Versand,WA-20126
2024-02-02,100047,6,Produktion,WA-20127
2024-02-03,100076,30,Versand,WA-20128
2024-02-03,100027,61,Versand,WA-20129
2024-02-03,100068,29,Reparatur,WA-20130
2024-02-03,100076,27,Versand,WA-20131
2024-02-03,100080,5,Versand,WA-20132
2024-02-03,100039,27,Reparatur,WA-20133
2024-02-04,100044,22,Versand,WA-20134
2024-02-04,100095,36,Versand,WA-20135
2024-02-04,100061,28,Versand,WA-20136
2024-02-04,100092,7,Versand,WA-20137
2024-02-04,100057,63,Produktion,WA-20138
2024-02-04,100066,11,Reparatur,WA-20139
2024-02-05,100055,52,Versand,WA-20140
2024-02-05,100039,8,Produktion,WA-20141
2024-02-05,100097,62,Versand,WA-20142
2024-02-05,100039,46,Versand,WA-20143
2024-02-05,100090,13,Produktion,WA-20144
2024-02-05,100076,68,Versand,WA-20145
2024-02-06,100032,49,Versand,WA-20146
2024-02-06,100005,5,Versand,WA-20147
2024-02-06,100087,32,Versand,WA-20148
2024-02-07,100018,23,Versand,WA-20149
2024-02-07,100079,30,Reparatur,WA-20150
2024-02-07,100039,64,Versand,WA-20151
2024-02-07,100091,35,Versand,WA-20152
2024-02-07,100096,37,Versand,WA-20153
2024-02-08,100058,54,Produktion,WA-20154
2024-02-08,100058,36,Produktion,WA-20155
2024-02-08,100047,43,Produktion,WA-20156
2024-02-08,100040,53,Produktion,WA-20157
2024-02-08,100012,49,Reparatur,WA-20158
2024-02-08,100044,60,Versand,WA-20159
2024-02-08,100088,59,Versand,WA-20160
2024-02-08,100052,25,Reparatur,WA-20161
2024-02-08,100041,50,Retourenaufbereitung,WA-20162
2024-02-08,100099,24,Reparatur,WA-20163
2024-02-09,100062,19,Versand,WA-20164
2024-02-09,100026,13,Versand,WA-20165
2024-02-10,100037,17,Versand,WA-20166
2024-02-10,100059,37,Produktion,WA-20167
2024-02-10,100006,35,Versand,WA-20168
2024-02-10,100004,18,Versand,WA-20169
2024-02-11,100044,36,Reparatur,WA-20170
2024-02-11,100057,68,Versand,WA-20171
2024-02-11,100030,42,Reparatur,WA-20172
2024-02-11,100022,30,Versand,WA-20173
2024-02-11,100041,49,Versand,WA-20174
2024-02-11,100009,41,Versand,WA-20175
2024-02-11,100031,22,Produktion,WA-20176
2024-02-12,100052,3,Versand,WA-20177
2024-02-12,100029,65,Versand,WA-20178
2024-02-13,100038,69,Retourenaufbereitung,WA-20179
2024-02-13,100030,6,Versand,WA-20180
2024-02-13,100081,60,Produktion,WA-20181
2024-02-13,100099,27,Produktion,WA-20182
2024-02-13,100001,49,Versand,WA-20183
2024-02-14,100077,40,Produktion,WA-20184
2024-02-15,100076,17,Versand,WA-20185
2024-02-15,100092,65,Produktion,WA-20186
2024-02-15,100011,23,Versand,WA-20187
2024-02-15,100038,59,Produktion,WA-20188
2024-02-16,100065,55,Versand,WA-20189
2024-02-16,100095,48,Produktion,WA-20190
2024-02-16,100012,16,Versand,WA-20191
2024-02-16,100045,19,Versand,WA-20192
2024-02-16,100026,41,Versand,WA-20193
2024-02-16,100016,11,Versand,WA-20194
2024-02-16,100094,8,Reparatur,WA-20195
2024-02-17,100097,25,Versand,WA-20196
2024-02-17,100059,61,Retourenaufbereitung,WA-20197
2024-02-17,100063,48,Retourenaufbereitung,WA-20198
2024-02-18,100087,40,Produktion,WA-20199
2024-02-18,100034,16,Versand,WA-20200
2024-02-18,100069,64,Versand,WA-20201
2024-02-18,100082,37,Produktion,WA-20202
2024-02-19,100029,21,Versand,WA-20203
2024-02-20,100070,32,Versand,WA-20204
2024-02-20,100073,27,Produktion,WA-20205
2024-02-20,100095,42,Reparatur,WA-20206
2024-02-20,100097,16,Produktion,WA-20207
2024-02-20,100062,28,Versand,WA-20208
2024-02-20,100027,24,Produktion,WA-20209
2024-02-20,100059,50,Versand,WA-20210
2024-02-20,100078,53,Versand,WA-20211
2024-02-21,100093,5,Reparatur,WA-20212
2024-02-21,100036,44,Versand,WA-20213
2024-02-21,100092,21,Versand,WA-20214
2024-02-22,100021,30,Versand,WA-20215
2024-02-22,100067,47,Reparatur,WA-20216
2024-02-22,100019,65,Produktion,WA-20217
2024-02-22,100095,21,Produktion,WA-20218
2024-02-22,100099,49,Produktion,WA-20219
2024-02-22,100067,16,Versand,WA-20220
2024-02-22,100090,40,Versand,WA-20221
2024-02-22,100063,55,Versand,WA-20222
2024-02-23,100016,63,Versand,WA-20223
2024-02-23,100011,38,Versand,WA-20224
2024-02-23,100021,42,Retourenaufbereitung,WA-20225
2024-02-23,100016,32,Versand,WA-20226
2024-02-23,100009,11,Versand,WA-20227
2024-02-23,100064,66,Versand,WA-20228
2024-02-23,100021,35,Versand,WA-20229
2024-02-23,100089,54,Retourenaufbereitung,WA-20230
2024-02-24,100081,16,Versand,WA-20231
2024-02-24,100049,55,Versand,WA-20232
2024-02-24,100013,61,Produktion,WA-20233
2024-02-24,100063,43,Versand,WA-20234
2024-02-24,100046,10,Versand,WA-20235
2024-02-25,100028,4,Versand,WA-20236
2024-02-25,100075,43,Produktion,WA-20237
2024-02-26,100035,57,Retourenaufbereitung,WA-20238
2024-02-26,100098,18,Produktion,WA-20239
2024-02-27,100051,64,Versand,WA-20240
2024-02-27,100075,50,Reparatur,WA-20241
2024-02-27,100006,32,Versand,WA-20242
2024-02-27,100028,14,Versand,WA-20243
2024-02-27,100010,37,Versand,WA-20244
2024-02-27,100032,13,Versand,WA-20245
2024-02-28,100005,66,Versand,WA-20246
2024-02-28,100078,52,Produktion,WA-20247
2024-02-28,100031,23,Retourenaufbereitung,WA-20248
2024-02-29,100050,50,Versand,WA-20249
2024-02-29,100074,22,Versand,WA-20250
2024-02-29,100057,69,Versand,WA-20251
2024-03-01,100086,46,Versand,WA-20252
2024-03-01,100025,35,Produktion,WA-20253
