datum,artikel,menge,lieferant,lieferschein
2024-01-01,100002,59,InduParts,LS-10001
2024-01-01,100032,57,MechaPro,LS-10002
2024-01-01,100005,59,MechaPro,LS-10003
2024-01-01,100049,36,MechaPro,LS-10004
2024-01-01,100009,55,InduParts,LS-10005
2024-01-01,100004,48,InduParts,LS-10006
2024-01-02,100022,22,InduParts,LS-10007
2024-01-02,100009,10,LiefTec,LS-10008
2024-01-02,100043,22,InduParts,LS-10009
2024-01-03,100001,23,InduParts,LS-10010
2024-01-04,100012,26,InduParts,LS-10011
2024-01-04,100039,41,InduParts,LS-10012
2024-01-04,100001,36,InduParts,LS-10013
2024-01-04,100083,45,MechaPro,LS-10014
2024-01-05,100064,7,MechaPro,LS-10015
2024-01-05,100062,32,LiefTec,LS-10016
2024-01-05,100072,14,MechaPro,LS-10017
2024-01-05,100016,55,InduParts,LS-10018
2024-01-05,100008,39,InduParts,LS-10019
2024-01-06,100074,33,LiefTec,LS-10020
2024-01-06,100014,58,LiefTec,LS-10021
2024-01-06,100023,19,InduParts,LS-10022
2024-01-06,100037,37,LiefTec,LS-10023
2024-01-07,100034,11,LiefTec,LS-10024
2024-01-07,100093,16,LiefTec,LS-10025
2024-01-08,100094,53,LiefTec,LS-10026
2024-01-08,100048,34,LiefTec,LS-10027
2024-01-08,100068,25,MechaPro,LS-10028
2024-01-09,100061,35,MechaPro,LS-10029
2024-01-09,100059,28,ElektroPlus,LS-10030
2024-01-09,100049,24,MechaPro,LS-10031
2024-01-10,100077,41,InduParts,LS-10032
2024-01-10,100074,8,LiefTec,LS-10033
2024-01-12,100008,32,LiefTec,LS-10034
2024-01-12,100033,48,InduParts,LS-10035
2024-01-12,100075,24,LiefTec,LS-10036
2024-01-13,100098,28,MechaPro,LS-10037
2024-01-13,100034,54,MechaPro,LS-10038
2024-01-13,100000,53,InduParts,LS-10039
2024-01-13,100039,55,LiefTec,LS-10040
2024-01-14,100063,36,MechaPro,LS-10041
2024-01-14,100021,45,InduParts,LS-10042
2024-01-14,100059,40,LiefTec,LS-10043
2024-01-14,100063,57,InduParts,LS-10044
